Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Grade Adjusted Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"4/6/2020","2020-04-06T09:41:49.000Z","","Running","5.29 Km","27m 39s","21 m","0 m","393 KCal","Good ","","11.47 km/h","05:13 min/km","","05:08 min/km","159 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUsbaTfRxoBaPkXST7UDPYwnj8iQPjF"
"4/7/2020","2020-04-07T09:10:37.000Z","","Running","12.42 Km","01h 12m 29s","42 m","35 m","922 KCal","Excellent ","","10.28 km/h","05:50 min/km","","05:44 min/km","156 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUsfDMv2bNu7s1J1n3ondCZgUvumNkr"
"4/8/2020","2020-04-08T09:54:51.000Z","","Running","5.94 Km","31m 41s","7 m","28 m","476 KCal","Good ","","11.25 km/h","05:19 min/km","","05:15 min/km","162 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUsjPmxD3xZ2BBY6fnPPu3s48n38Jnt"
"4/9/2020","2020-04-09T07:58:39.000Z","","Running","12.93 Km","01h 15m 31s","42 m","71 m","986 KCal","Very Good ","","10.27 km/h","05:50 min/km","","05:42 min/km","158 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUsqu86A4TkRYWYBrEkphKVk5Hmvxug"
"4/10/2020","2020-04-10T10:14:02.000Z","","Running","7.54 Km","42m 42s","21 m","7 m","578 KCal","Very Good ","","10.59 km/h","05:39 min/km","","05:33 min/km","158 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6GM9rQd6jKqQLTBvodm6MMBXjVm9a"
"4/11/2020","2020-04-11T08:45:01.000Z","","Running","5.26 Km","24m 42s","14 m","0 m","396 KCal","Good ","","12.78 km/h","04:41 min/km","","04:39 min/km","170 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6KxTf71AT5eeAtqadcK5ArHgDbaoz"
"4/12/2020","2020-04-12T08:11:33.000Z","","Running","12.56 Km","01h 02m 08s","21 m","58 m","956 KCal","Very Good ","","12.13 km/h","04:56 min/km","","04:53 min/km","171 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6Q91AiG2rXLun8RFwFVAd5uii2cNq"
"4/13/2020","2020-04-13T10:19:25.000Z","","Running","6.01 Km","29m 39s","14 m","21 m","453 KCal","Very Good ","","12.15 km/h","04:56 min/km","","04:52 min/km","164 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6WbnTrAZ2dqAUTmR3k9rqBpMCFJbn"
"4/14/2020","2020-04-14T06:31:48.000Z","","Running","11.59 Km","57m 45s","28 m","92 m","878 KCal","Very Good ","","12.04 km/h","04:58 min/km","","04:54 min/km","168 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6aCGV6EtP7krSRFvHNxdh8gzQgu3v"
"4/15/2020","2020-04-15T08:05:12.000Z","","Running","18.36 Km","01h 29m 37s","49 m","43 m","1414 KCal","Excellent ","","12.29 km/h","04:52 min/km","","04:49 min/km","174 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6eQHtbQTi5GYrTduh9qEoFjm84sUg"
"4/16/2020","2020-04-16T10:50:00.000Z","","Running","5.13 Km","27m 54s","0 m","14 m","386 KCal","Excellent ","","11.03 km/h","05:26 min/km","","05:19 min/km","156 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6ksD4e9iXBr9rptd1umo4aTwVazpK"
"4/17/2020","2020-04-17T07:38:25.000Z","","Running","5.26 Km","29m 33s","0 m","43 m","387 KCal","Good ","","10.67 km/h","05:37 min/km","","05:31 min/km","153 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV6pVKMzua1kM9AFtAPwpwAvorrUXhs"
"4/18/2020","2020-04-18T09:36:26.000Z","","Running","21.86 Km","01h 56m 19s","71 m","92 m","1686 KCal","Very Good ","","11.28 km/h","05:19 min/km","","05:13 min/km","167 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9HmynHBJoKnoNbKmBri1gkNxoPkT5"
"4/19/2020","2020-04-19T09:28:04.000Z","","Running","6.00 Km","34m 36s","63 m","21 m","460 KCal","Excellent ","","10.40 km/h","05:46 min/km","","05:35 min/km","155 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9QCUB15PBxPy5oM6JUVFNRqUccWDJ"
"4/20/2020","2020-04-20T07:49:40.000Z","","Running","5.26 Km","30m 36s","50 m","49 m","397 KCal","Good ","","10.32 km/h","05:48 min/km","","05:41 min/km","152 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9UUYTHygkQvDyKtqffbTgacmVacbW"
"4/21/2020","2020-04-21T07:42:12.000Z","","Running","12.78 Km","01h 12m 12s","57 m","150 m","966 KCal","Very Good ","","10.62 km/h","05:39 min/km","","05:32 min/km","161 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9XzzN2gchwfjcxedAR91SHTuVnA2V"
"4/22/2020","2020-04-22T08:31:07.000Z","","Running","10.13 Km","58m 05s","42 m","28 m","736 KCal","Very Good ","","10.46 km/h","05:44 min/km","","05:37 min/km","155 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfwwM4Zvsg7sDMajatJN11dfNBcRDQC"
"4/23/2020","2020-04-23T09:52:46.000Z","","Running","11.31 Km","55m 06s","36 m","28 m","970 KCal","Average ","","12.32 km/h","04:52 min/km","","04:44 min/km","179 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfx12EnQ3qFL7H3vGBVQNmazEMiYhvR"
"4/24/2020","2020-04-24T15:46:06.000Z","","Running","5.40 Km","26m 15s","21 m","35 m","406 KCal","Very Good ","","12.34 km/h","04:51 min/km","","04:48 min/km","165 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfx84GxE7VN8gn3CdRdippwwJMSqRdB"
"4/25/2020","2020-04-25T11:11:40.000Z","","Running","9.18 Km","49m 36s","14 m","7 m","656 KCal","Excellent ","","11.11 km/h","05:24 min/km","","05:15 min/km","156 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxBdxzL8asKxits5JVPSdoWdxYVb6V"
"4/26/2020","2020-04-26T08:27:00.000Z","","Running","6.73 Km","36m 23s","21 m","85 m","502 KCal","Good ","","11.09 km/h","05:24 min/km","","05:17 min/km","159 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxFFFLCtogBsZWBzAHsQsTTHzDeEn4"
"4/27/2020","2020-04-27T10:16:12.000Z","","Running","5.70 Km","26m 01s","7 m","28 m","428 KCal","Excellent ","","13.13 km/h","04:34 min/km","","04:31 min/km","169 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxKSTsLCy6QKyLEXn5tjHroLTNSj1P"
"4/28/2020","2020-04-28T07:33:37.000Z","","Running","13.32 Km","01h 08m 37s","28 m","21 m","1028 KCal","Very Good ","","11.65 km/h","05:09 min/km","","05:04 min/km","166 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxP4hVLcCZUtfXx14P8bgnareKPzfb"
"4/29/2020","2020-04-29T06:21:43.000Z","","Running","4.18 Km","21m 39s","21 m","14 m","334 KCal","Very Good ","","11.58 km/h","05:10 min/km","","05:01 min/km","163 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxVUEbdXnhhH7x64puhRt8gYGRwRUd"
"4/30/2020","2020-04-30T07:49:49.000Z","","Running","9.31 Km","46m 27s","42 m","7 m","762 KCal","Very Good ","","12.02 km/h","04:59 min/km","","04:50 min/km","173 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfzxoUwpTB4AW3pwSCc2YtoWaGgRV1e"
"5/1/2020","2020-05-01T10:20:43.000Z","","Running","5.50 Km","28m 07s","7 m","28 m","422 KCal","Very Good ","","11.75 km/h","05:06 min/km","","05:05 min/km","163 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg15EeYtCcLuNCuqAeZFiK82FJMEgbR"
"5/2/2020","2020-05-02T10:09:30.000Z","","Running","7.00 Km","36m 09s","14 m","42 m","478 KCal","Very Good ","","11.62 km/h","05:09 min/km","","05:09 min/km","156 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg18uAMRQJs3JgGa7WSBs1ZE9Ve2Rs9"
"5/3/2020","2020-05-03T09:18:37.000Z","","Running","7.22 Km","37m 31s","28 m","43 m","520 KCal","Very Good ","","11.55 km/h","05:11 min/km","","05:05 min/km","159 bpm","","","58.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg1CVdyj9hLxneyq8nK4KfYGTmuztxS"
"5/5/2020","2020-05-05T09:12:07.000Z","","Running","13.19 Km","01h 02m 13s","28 m","28 m","1052 KCal","Excellent ","","12.72 km/h","04:42 min/km","","04:40 min/km","177 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYgDjytHB7TiATC6YNZ51ScV1DMBXM3d"
"5/6/2020","2020-05-06T08:38:35.000Z","","Running","7.49 Km","37m 51s","28 m","43 m","587 KCal","","","11.86 km/h","05:03 min/km","","04:58 min/km","166 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYgDodRhFVtNkJiZXzqvaWatxD7oR2Ae"
"5/7/2020","2020-05-07T07:32:19.000Z","","Running","5.23 Km","26m 24s","35 m","7 m","382 KCal","Very Good ","","11.88 km/h","05:03 min/km","","04:57 min/km","161 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vAkdRz6UzM2gTq3MmKpiKgyYoLjSQ"
"5/8/2020","2020-05-08T08:48:23.000Z","","Running","12.88 Km","01h 13m 21s","101 m","21 m","1053 KCal","Very Good ","","10.53 km/h","05:41 min/km","","05:31 min/km","167 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vHBvKkZXtEF2t6UgGuk83yXcNUEBy"
"5/9/2020","2020-05-09T09:44:12.000Z","","Running","5.28 Km","27m 05s","0 m","7 m","389 KCal","Very Good ","","11.69 km/h","05:07 min/km","","05:04 min/km","160 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vLpqgDQygmDUJ9DNUwsvEpXfS6eq6"
"5/10/2020","2020-05-10T07:33:25.000Z","","Running","21.39 Km","02h 03m 45s","205 m","176 m","1906 KCal","Very Good ","","10.37 km/h","05:47 min/km","","05:33 min/km","170 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vQzbGNh1wjaPgpr4XDFFShkcnjc34"
"5/12/2020","2020-05-12T09:01:16.000Z","","Running","7.01 Km","35m 24s","7 m","7 m","475 KCal","Very Good ","","11.87 km/h","05:03 min/km","","05:02 min/km","156 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7xzAFMm6dHiHAYRTUBfwwxfrXA3U7o"
"5/13/2020","2020-05-13T08:47:03.000Z","","Running","5.20 Km","26m 38s","51 m","7 m","349 KCal","Very Good ","","11.71 km/h","05:07 min/km","","04:59 min/km","152 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7y4LeUoRffBAgQzP73WJZqYvhbvz9z"
"5/14/2020","2020-05-14T07:19:10.000Z","","Running","13.42 Km","01h 07m 54s","44 m","56 m","956 KCal","Very Good ","","11.86 km/h","05:03 min/km","","04:58 min/km","163 bpm","","","58.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yAncuwwks5pKZ8GTf6dpYiDi4Wrap"
"5/15/2020","2020-05-15T08:14:23.000Z","","Running","5.21 Km","27m 00s","14 m","28 m","365 KCal","Very Good ","","11.59 km/h","05:10 min/km","","05:10 min/km","155 bpm","","","58.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yEQihfa1K5oUK3CqFBKXbspcCNTum"
"5/16/2020","2020-05-16T09:16:34.000Z","","Running","16.05 Km","01h 27m 39s","35 m","28 m","1249 KCal","Good ","","10.99 km/h","05:27 min/km","","05:18 min/km","165 bpm","","","58.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yJdYbqCJXPzbwUAU1dTeERJn873ZX"
"5/17/2020","2020-05-17T09:20:31.000Z","","Running","5.24 Km","26m 02s","14 m","50 m","374 KCal","Good ","","12.07 km/h","04:58 min/km","","04:58 min/km","160 bpm","","","58.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Bmudp7apt7G4B6jEPhbctk4SpGPzD"
"5/18/2020","2020-05-18T08:13:52.000Z","","Running","7.03 Km","36m 21s","21 m","14 m","525 KCal","Very Good ","","11.61 km/h","05:10 min/km","","05:06 min/km","162 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8BqYXtNjcfkZEnuHduUgbogppm1rU2"
"5/19/2020","2020-05-19T07:39:02.000Z","","Running","15.80 Km","01h 21m 03s","35 m","49 m","1209 KCal","Excellent ","","11.70 km/h","05:07 min/km","","05:03 min/km","169 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Buj5F2M6US7Drtgo7xh8bYYTzsvvE"
"5/20/2020","2020-05-20T07:59:24.000Z","","Running","7.33 Km","40m 16s","7 m","93 m","533 KCal","Very Good ","","10.92 km/h","05:29 min/km","","05:31 min/km","155 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8ByMAxsmNhF2EjuDDzbqDNGGc8C34h"
"5/21/2020","2020-05-21T07:38:18.000Z","","Running","5.21 Km","29m 06s","7 m","14 m","377 KCal","Very Good ","","10.75 km/h","05:34 min/km","","05:35 min/km","152 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8C5o9QEMPpiuxK4q46oHiyiLNqPHKD"
"5/22/2020","2020-05-22T08:25:54.000Z","","Running","11.00 Km","57m 49s","35 m","35 m","795 KCal","Very Good ","","11.42 km/h","05:15 min/km","","05:11 min/km","161 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8C9SC7LmDAbSS3Q3q5Q6ijk9EgtA1N"
"5/23/2020","2020-05-23T10:55:00.000Z","","Running","8.49 Km","40m 28s","42 m","28 m","602 KCal","Excellent ","","12.58 km/h","04:46 min/km","","04:44 min/km","165 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8CGTHWRskndWSricwuhKUdkvfNQAWe"
"5/24/2020","2020-05-24T09:26:16.000Z","","Running","5.24 Km","25m 22s","100 m","7 m","365 KCal","Good ","","12.40 km/h","04:50 min/km","","04:33 min/km","159 bpm","","","58.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EjBnmRo8GoTyendgRJe4TUZrs1dK3"
"5/25/2020","2020-05-25T07:24:15.000Z","","Cycling","18.69 Km","01h 00m 18s","64 m","56 m","535 KCal","Good ","","18.60 km/h","","","00:05 min/km","130 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EoNCHSRTyeCiv6tCogtEf1Aekfh4Q"
"5/25/2020","2020-05-25T08:31:07.000Z","","Running","22.11 Km","02h 07m 24s","148 m","190 m","1784 KCal","Very Good ","","10.41 km/h","05:45 min/km","","05:39 min/km","162 bpm","","","58.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EoNCRz45zC7Y4JrqGcpLhzwKF3uf7"
"5/26/2020","2020-05-26T15:41:47.000Z","","Running","5.54 Km","32m 07s","14 m","36 m","425 KCal","Very Good ","","10.34 km/h","05:48 min/km","","05:41 min/km","153 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EuraasPhELLEX3FaALMdWRsd2zfkc"
"5/28/2020","2020-05-28T07:51:57.000Z","","Running","12.40 Km","01h 04m 48s","21 m","21 m","1017 KCal","Very Good ","","11.48 km/h","05:13 min/km","","05:07 min/km","171 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8F34M8SSwFZgaRfAVNGx2urVra87h7"
"5/29/2020","2020-05-29T08:38:11.000Z","","Running","6.65 Km","36m 06s","21 m","21 m","559 KCal","","","11.05 km/h","05:25 min/km","","05:18 min/km","167 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TU6KkjmWv6LLzeKUksrfK1UjhSueR"
"5/30/2020","2020-05-30T10:02:27.000Z","","Running","5.16 Km","27m 52s","14 m","28 m","434 KCal","","","11.10 km/h","05:24 min/km","","05:26 min/km","168 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TaYTtXBier8zkzqp5KaYCz9uvan2n"
"5/31/2020","2020-05-31T08:23:29.000Z","","Running","11.95 Km","01h 06m 10s","14 m","56 m","995 KCal","Good ","","10.84 km/h","05:32 min/km","","05:27 min/km","170 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TeAZ8RDCXkaWM7xK64hL8pckY8ftg"
"6/2/2020","2020-06-02T07:11:06.000Z","","Running","12.35 Km","01h 05m 14s","21 m","42 m","916 KCal","Very Good ","","11.35 km/h","05:17 min/km","","05:11 min/km","163 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Tpo553kgP8pPN4E1bMgx4ixPnCcb9"
"6/3/2020","2020-06-03T11:55:51.000Z","","Running","8.12 Km","41m 54s","14 m","7 m","625 KCal","Very Good ","","11.62 km/h","05:09 min/km","","05:05 min/km","165 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TtTj7S915HZxHQyfqZzWudgGzg7W3"
"6/4/2020","2020-06-04T09:35:10.000Z","","Running","6.02 Km","31m 01s","7 m","21 m","434 KCal","Very Good ","","11.64 km/h","05:09 min/km","","05:04 min/km","158 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TxcPm7vy3u8AYPRBAQQGFn11rm18j"
"6/5/2020","2020-06-05T09:05:21.000Z","","Running","13.74 Km","01h 18m 52s","42 m","21 m","988 KCal","Very Good ","","10.45 km/h","05:44 min/km","","05:39 min/km","156 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WU9JEqPJBTk6ygwR7ts9yXFrajNay"
"6/6/2020","2020-06-06T09:42:17.000Z","","Running","10.18 Km","54m 33s","21 m","14 m","682 KCal","Excellent ","","11.20 km/h","05:21 min/km","","05:19 min/km","154 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WXnqdAcQiAvf9qQx2vDjE2UQ7Luqz"
"6/7/2020","2020-06-07T08:16:06.000Z","","Cycling","10.59 Km","35m 29s","43 m","57 m","323 KCal","Very Good ","","17.90 km/h","","","00:04 min/km","128 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WbwnP2iiTxFkQ5knSFs1pWELez5Jd"
"6/7/2020","2020-06-07T08:58:44.000Z","","Running","25.04 Km","02h 35m 04s","247 m","240 m","2270 KCal","Very Good ","","9.69 km/h","06:11 min/km","","05:58 min/km","166 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Wbz4hu3SEmELgEbohPMir4qAPdp7T"
"6/9/2020","2020-06-09T08:17:24.000Z","","Running","5.24 Km","29m 07s","21 m","0 m","347 KCal","Excellent ","","10.80 km/h","05:33 min/km","","05:26 min/km","146 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Wn5tK7mdtqd9ccRxfmxNpEhb6hgxc"
"6/10/2020","2020-06-10T05:59:17.000Z","","Running","6.85 Km","38m 56s","7 m","28 m","426 KCal","Very Good ","","10.56 km/h","05:41 min/km","","05:38 min/km","141 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jCWJiLVk3vykm3oj9nhhtCBPvaHHZ"
"6/12/2020","2020-06-12T11:58:58.000Z","","Running","5.86 Km","31m 30s","7 m","0 m","451 KCal","Very Good ","","11.15 km/h","05:22 min/km","","05:18 min/km","161 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jPC68vevD7EX2ZjVf1KEmXqoe7b89"
