Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"1/7/2020","2020-01-07T00:09:55.000Z","","Running","8.51 Km","46m 16s","149 m","134 m","614 KCal","","","11.02 km/h","05:26 min/km","","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvXVNWZRYCQg2z7HQbqpwaGbctR6Mh"
"1/9/2020","2020-01-09T06:26:03.000Z","","Running","5.28 Km","25m 26s","7 m","35 m","420 KCal","","","12.44 km/h","04:49 min/km","","178 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSviBvJYp1DKAZk9V7KR3sxNZQC5idU"
"1/10/2020","2020-01-10T06:30:02.000Z","","Running","7.37 Km","38m 42s","21 m","37 m","594 KCal","","","11.42 km/h","05:15 min/km","","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvtshwYFAnXWmnBPn86K12VGpm4bdX"
"1/11/2020","2020-01-11T13:56:10.000Z","","Running","5.96 Km","31m 50s","14 m","35 m","433 KCal","","","11.24 km/h","05:20 min/km","","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvttf1X4tMiwf8qenMzh97vLLot9PX"
"1/12/2020","2020-01-12T10:42:09.000Z","","Running","6.43 Km","34m 47s","42 m","66 m","525 KCal","","","11.09 km/h","05:24 min/km","","170 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSyQPdzqqupsQT75WWJDxkcKburZfSc"
"1/15/2020","2020-01-15T17:11:26.000Z","","Running","5.23 Km","26m 40s","14 m","21 m","389 KCal","","","11.75 km/h","05:06 min/km","","167 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsQrNMR2Xh8nBpgztnoN6NF5eMT"
"1/18/2020","2020-01-18T10:08:24.000Z","","Running","3.07 Km","10m 40s","0 m","0 m","156 KCal","","","17.28 km/h","03:28 min/km","","152 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn3dtEBSRRandUhv7PTpFDTCdt"
"1/18/2020","2020-01-18T10:22:52.000Z","","Running","7.94 Km","41m 44s","14 m","28 m","740 KCal","Average ","","11.42 km/h","05:15 min/km","","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn8WDUgPD9pUZGb2uDJZjD8xuP"
"1/21/2020","2020-01-21T19:39:56.000Z","","Running","7.59 Km","38m 08s","0 m","0 m","681 KCal","Average ","","11.94 km/h","05:01 min/km","","181 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCW9AJQgBhAKHvgxSufJWNW6Cu8xtd"
"1/23/2020","2020-01-23T19:09:10.000Z","","Running","9.82 Km","53m 58s","64 m","50 m","821 KCal","Very Good ","","10.91 km/h","05:29 min/km","","167 bpm","","","54.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCdwozuQSPkSrz6Pr29hbMaMfvq5Hb"
"1/24/2020","2020-01-24T09:42:12.000Z","","Running","5.41 Km","29m 50s","14 m","43 m","496 KCal","Average ","","10.88 km/h","05:30 min/km","","172 bpm","","","54.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTF9RM6qgKWP5vmk8vH3wh5bYcrb8Qs"
"1/25/2020","2020-01-25T11:22:54.000Z","","Running","6.93 Km","35m 55s","0 m","0 m","540 KCal","Average ","","11.58 km/h","05:10 min/km","","163 bpm","","","54.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTp7rYUykKDNcGQd21JZdqhjfW27AV"
"1/27/2020","2020-01-27T07:20:11.000Z","","Running","1.38 Km","07m 40s","14 m","7 m","100 KCal","Poor ","","10.81 km/h","05:33 min/km","","148 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTp7rYUxm94BgtAyKNfgoFPLH9f6eW"
"1/28/2020","2020-01-28T19:24:53.000Z","","Running","893.0 m","04m 53s","7 m","0 m","65 KCal","Good ","","10.95 km/h","05:28 min/km","","148 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTpF9Fbmrx4ejSt2JwDyjymCsLPJUM"
"1/28/2020","2020-01-28T19:38:46.000Z","","Running","9.19 Km","47m 43s","0 m","0 m","800 KCal","Good ","","11.56 km/h","05:11 min/km","","174 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTpFGaQCqdAr49upc7ath1rWz7xXxk"
"1/29/2020","2020-01-29T16:03:00.000Z","","Running","5.56 Km","30m 19s","28 m","14 m","465 KCal","Average ","","11.00 km/h","05:27 min/km","","165 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTtP8KrbVfEJANNSMUECCneqKQfof2"
"1/30/2020","2020-01-30T19:04:05.000Z","","Running","6.13 Km","30m 59s","49 m","28 m","596 KCal","Good ","","11.87 km/h","05:03 min/km","","172 bpm","","","55.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTzseqF5MXe32RYqi5iuDL7waibWzx"
"2/1/2020","2020-02-01T11:32:28.000Z","","Running","11.03 Km","58m 04s","50 m","35 m","939 KCal","Good ","","11.40 km/h","05:15 min/km","","172 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTU839bW8XtkumqqADiKAtZkShqCzSH"
"2/2/2020","2020-02-02T13:53:24.000Z","","Running","5.25 Km","29m 19s","43 m","0 m","388 KCal","Average ","","10.74 km/h","05:35 min/km","","153 bpm","","","55.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTUCFAR7tFn4mRXFxT4vzVJGAihMuTo"
"2/4/2020","2020-02-04T19:29:35.000Z","","Running","9.34 Km","56m 39s","0 m","0 m","790 KCal","Poor ","","9.90 km/h","06:03 min/km","","160 bpm","","","56.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTUNxPw7f1K8QqAd77DjseCckpsNnpo"
"2/6/2020","2020-02-06T19:11:03.000Z","","Running","11.51 Km","58m 02s","78 m","56 m","879 KCal","Very Good ","","11.90 km/h","05:02 min/km","","167 bpm","","","56.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTWx84m6Gar9VAbqbehkxp5tLwuFmRf"
"2/8/2020","2020-02-08T09:30:06.000Z","","Running","20.99 Km","01h 32m 33s","21 m","28 m","1663 KCal","Very Good ","","13.60 km/h","04:24 min/km","","183 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTX5Gb7551QMWRe5Q3jRCMETyyD9v9W"
"2/11/2020","2020-02-11T17:48:38.000Z","","Running","5.25 Km","30m 52s","21 m","50 m","406 KCal","Poor ","","10.19 km/h","05:53 min/km","","154 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTjh2jqWiNTWrt7G4bet8ibRBBnwRqd"
"2/12/2020","2020-02-12T16:01:15.000Z","","Running","5.55 Km","27m 07s","21 m","0 m","458 KCal","Good ","","12.29 km/h","04:52 min/km","","175 bpm","","","56.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTjoSThz99BB9sXrjsoWCmJVUof84fx"
"2/13/2020","2020-02-13T19:05:32.000Z","","Running","7.78 Km","43m 37s","72 m","56 m","601 KCal","Poor ","","10.71 km/h","05:36 min/km","","154 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTjsgFG6owpVTzfv546Mg2bd8V16KuC"
"2/15/2020","2020-02-15T10:33:52.000Z","","Running","12.85 Km","01h 11m 22s","57 m","70 m","982 KCal","Good ","","10.81 km/h","05:33 min/km","","162 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTjzqZvqvbDzGNKrtbrqm5sUYAmLzoq"
"2/16/2020","2020-02-16T10:47:07.000Z","","Running","5.50 Km","29m 32s","28 m","102 m","406 KCal","Good ","","11.18 km/h","05:22 min/km","","156 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTk7GjiCP483qXDWaWkrSh8rbdQzfn2"
"2/18/2020","2020-02-18T19:17:14.000Z","","Running","10.66 Km","52m 48s","0 m","0 m","1027 KCal","Good ","","12.12 km/h","04:57 min/km","","177 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTnh7AgcVXMRWYEUcNoHCMeaQwMNLuv"
"2/19/2020","2020-02-19T15:24:56.000Z","","Running","5.55 Km","30m 18s","28 m","21 m","491 KCal","Average ","","11.00 km/h","05:27 min/km","","171 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTnkgzQtGDizZQqTEyYSE7s9e9PXzY8"
"2/20/2020","2020-02-20T19:05:12.000Z","","Running","9.86 Km","50m 20s","49 m","42 m","749 KCal","Very Good ","","11.75 km/h","05:06 min/km","","165 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTnpupgCLWfzL41GGjozXPtC1Z1po4u"
"2/21/2020","2020-02-21T16:49:37.000Z","","Running","5.53 Km","28m 46s","7 m","35 m","441 KCal","Average ","","11.52 km/h","05:12 min/km","","163 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1JBkDarn3W5BsaBCwvSaWjnTYAfrR"
"2/22/2020","2020-02-22T10:49:27.000Z","","Running","6.33 Km","33m 16s","36 m","28 m","477 KCal","Good ","","11.40 km/h","05:15 min/km","","161 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1MjxackwtbfnHFBHzGARP9v2SaPWd"
"2/23/2020","2020-02-23T09:39:46.000Z","","Running","12.83 Km","01h 06m 26s","49 m","91 m","1023 KCal","Very Good ","","11.59 km/h","05:10 min/km","","169 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1RNr6junaSHfkPWnWDTEybJtRSXCc"
"2/25/2020","2020-02-25T17:24:42.000Z","","Running","6.82 Km","36m 17s","28 m","57 m","528 KCal","Good ","","11.27 km/h","05:19 min/km","","163 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1c8WjSX9UXXPkh8DCKArXTMYhUUnb"
"2/27/2020","2020-02-27T19:05:58.000Z","","Running","6.56 Km","34m 23s","7 m","36 m","649 KCal","Very Good ","","11.44 km/h","05:14 min/km","","171 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1nkNT3n6es78cR65fCipFNxhgYtpC"
"2/28/2020","2020-02-28T18:05:25.000Z","","Running","10.55 Km","54m 02s","57 m","21 m","853 KCal","Very Good ","","11.72 km/h","05:07 min/km","","169 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU1rMfXEGyH2uPfZTeMzMmqZgYQDryq"
"3/1/2020","2020-03-01T09:44:35.000Z","","Running","10.44 Km","01h 02m 30s","71 m","14 m","830 KCal","Very Good ","","10.02 km/h","05:59 min/km","","154 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYU4Nd6hMyXTwagPxYw9n1iwxPpJbJEb"
"3/3/2020","2020-03-03T17:32:18.000Z","","Running","6.66 Km","40m 36s","29 m","14 m","512 KCal","Good ","","9.84 km/h","06:05 min/km","","152 bpm","","","55.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUH3E7jzVXsfkmB8SFkB9X3aaLketXh"
"3/5/2020","2020-03-05T07:54:51.000Z","","Running","4.00 Km","22m 14s","14 m","21 m","290 KCal","Very Good ","","10.78 km/h","05:34 min/km","","151 bpm","","","55.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUH3ttyqW6hwvViqYM41eeeVbbFpNZ6"
"3/6/2020","2020-03-06T16:46:14.000Z","","Running","6.52 Km","35m 32s","49 m","244 m","563 KCal","Very Good ","","11.01 km/h","05:27 min/km","","164 bpm","","","55.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUHQbnWMKyrVh8P7ExHZqWuyp64QUks"
"3/10/2020","2020-03-10T06:31:22.000Z","","Running","5.13 Km","26m 41s","28 m","7 m","359 KCal","Very Good ","","11.53 km/h","05:12 min/km","","153 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUHUD4WjRqXUo35rwWEhz4YtHUk3F1F"
"3/10/2020","2020-03-10T19:22:57.000Z","","Running","5.11 Km","26m 52s","0 m","7 m","469 KCal","Poor ","","11.41 km/h","05:15 min/km","","164 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUHUv7sLgSqtuKvPmgPdaztvtLJ67t6"
"3/12/2020","2020-03-12T19:03:28.000Z","","Running","14.64 Km","01h 16m 16s","85 m","113 m","1256 KCal","Very Good ","","11.52 km/h","05:12 min/km","","176 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUL4eFnrAg62ZEqHAojtgLMs2dhBo9T"
"3/14/2020","2020-03-14T13:24:37.000Z","","Running","2.06 Km","10m 42s","0 m","0 m","165 KCal","Good ","","11.51 km/h","05:12 min/km","","164 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYULBpPubKdshDREcCNwfUJ9b3jJifRv"
"3/14/2020","2020-03-14T14:02:34.000Z","","Running","10.06 Km","42m 16s","14 m","14 m","901 KCal","Very Good ","","14.28 km/h","04:12 min/km","","193 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYULBqr7vJWdnP6QcPiyZeQuHP8rEZWi"
"3/14/2020","2020-03-14T15:02:37.000Z","","Running","1.50 Km","10m 01s","0 m","0 m","143 KCal","Very Good ","","8.95 km/h","06:42 min/km","","158 bpm","","","55.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYULBqrzrrCcCRa1JsU5Lh22kBTdMhuh"
"3/16/2020","2020-03-16T18:21:48.000Z","","Running","5.19 Km","28m 21s","14 m","14 m","378 KCal","Good ","","10.98 km/h","05:27 min/km","","154 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYULNW9iK3poG6d75XkzmTGKy2CV5uFz"
"3/17/2020","2020-03-17T18:09:46.000Z","","Running","6.25 Km","32m 25s","14 m","21 m","494 KCal","Very Good ","","11.57 km/h","05:11 min/km","","167 bpm","","","55.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUYqoqi3AEShki3NePRdyD4pSJjKEeq"
"3/19/2020","2020-03-19T17:33:36.000Z","","Running","12.88 Km","01h 02m 53s","21 m","43 m","1027 KCal","Very Good ","","12.29 km/h","04:52 min/km","","175 bpm","","","56.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUYydADLHFfyYjyWPX5okhmtovN2DDt"
"3/21/2020","2020-03-21T10:04:16.000Z","","Trail Running","190.0 m","01m 28s","0 m","0 m","26 KCal","Very Good ","","7.77 km/h","07:43 min/km","","152 bpm","","","56.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUZ9eooX1ybmGz3fDejasRZcwakm8A4"
"3/21/2020","2020-03-21T10:07:09.000Z","","2x Running, Trail Running","18.17 Km","04h 02m 58s","714 m","674 m","1746 KCal","Good ","Slight ","7.88 km/h","10:16 min/km","","167 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUZ9eoxKUkrhpQuVo9X8tzytbAX4rnh"
"3/24/2020","2020-03-24T07:18:11.000Z","","Running","6.03 Km","29m 41s","7 m","0 m","454 KCal","Good ","","12.19 km/h","04:55 min/km","","166 bpm","","","55.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUZM2yS1n7jEV2H6xiVh6pTappBgHH1"
"3/25/2020","2020-03-25T09:06:07.000Z","","Running","7.03 Km","35m 59s","7 m","7 m","538 KCal","Good ","","11.71 km/h","05:07 min/km","","168 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUbraYCu6GZuNf5DjHfGt78yNxUdDpZ"
"3/26/2020","2020-03-26T12:46:24.000Z","","Running","6.31 Km","31m 17s","14 m","42 m","498 KCal","Very Good ","","12.10 km/h","04:57 min/km","","168 bpm","","","56.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUbvoWs3LYMzJHJQWCufUQgnBUzYHXF"
"3/27/2020","2020-03-27T09:16:30.000Z","","Running","6.21 Km","31m 39s","14 m","35 m","502 KCal","Good ","","11.77 km/h","05:05 min/km","","166 bpm","","","56.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUbzQedZj8E3w2ntJuadhB5CLpX6oCh"
"3/28/2020","2020-03-28T10:27:44.000Z","","Running","9.27 Km","47m 05s","21 m","36 m","691 KCal","Good ","","11.81 km/h","05:04 min/km","","167 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUc6rm5uotqtThEPWxZhb5mZ9dTFZMA"
"3/29/2020","2020-03-29T10:29:52.000Z","","Running","8.38 Km","42m 55s","42 m","43 m","607 KCal","Good ","","11.71 km/h","05:07 min/km","","161 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUpXN4J1kse3avPrPHEHHbPr2F9wEr4"
"3/30/2020","2020-03-30T08:29:58.000Z","","Running","7.22 Km","39m 27s","21 m","71 m","519 KCal","Very Good ","","10.98 km/h","05:27 min/km","","155 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYUpbZQLMgQSC6FLu536CBbwxMsTV7Rn"
